Building for debugging...
[0/3] Write swift-version--58304C5D6DBC2206.txt
Build of product 'App' complete! (0.18s)
[ INFO ] GET /api/games [request-id: 53D3E410-CD51-4549-965F-9F5CE4798F7F]
[ INFO ] GET /api/admin/overview [request-id: F5B49DC5-BFDF-4349-84CE-875605FD569A]
[ INFO ] GET /api/admin/students [request-id: 517F8966-D078-463E-B238-0AEB50146349]
[ INFO ] GET /api/admin/klassen/list [request-id: 4B8506CC-BC01-4D30-90DC-20FE60099429]
[ INFO ] GET /api/admin/vocab/topics [request-id: 0B031C39-4D50-4790-ADE5-BBFE56F4631B]
[ INFO ] GET /api/chat/all [request-id: 0F0E95F0-B451-4FD9-9523-837362EF9757]
[ INFO ] GET /api/chat/unread [request-id: 3F445B70-1124-4B58-9896-6A2649080423]
[ INFO ] GET /api/chat/unread [request-id: 58BCE8C2-579C-4914-8BB2-A0784D3BA244]
[ INFO ] GET /api/chat/unread [request-id: BE48A65B-1806-4910-9705-54FCC4C7B540]
[ INFO ] GET /api/chat/unread [request-id: 7A53CAE9-C509-4A68-B90F-1C6BB0664DF4]
[ INFO ] GET /api/chat/unread [request-id: 395F7BA9-D338-4BB8-958C-B3C2310AE702]
[ INFO ] GET /api/chat/unread [request-id: 6B815EBE-EB62-4FC1-8853-5AF5732B02B6]
[ INFO ] GET /api/chat/unread [request-id: AF40677D-21BA-40EC-92E7-9654B8E34F1C]
[ INFO ] POST /api/admin/klassen/create [request-id: D1202DF7-FED5-4F52-B5C5-FF77649A2DCA]
[ INFO ] GET /api/admin/klassen/list [request-id: B1756D97-A5FF-414D-927C-8B6AF262A20D]
[ INFO ] GET /api/chat/unread [request-id: A4AF76B8-D337-4676-86F3-0D824A0E56E0]
[ INFO ] GET /api/admin/klassen/8BAEC93F-5CEE-43FE-990D-B9674FED3FEE/detail [request-id: 9291D887-63D2-4CE9-929C-4089E6659ED3]
[ INFO ] GET /api/chat/unread [request-id: 3F33180C-109E-4AD5-8BDC-7D4F193A2003]
[ INFO ] GET /api/chat/unread [request-id: AF915AB7-188D-41B3-AAA3-CEC3A0B05825]
[ INFO ] GET /api/chat/unread [request-id: 0AB36DA6-E51E-41BD-A25B-FE54DF84DD7D]
[ INFO ] GET /api/chat/unread [request-id: 293CD22E-A9BC-4880-AB66-83137BDD1E99]
[ INFO ] GET /api/chat/unread [request-id: 62A2E912-AF60-48FE-B364-8AC2F087CCBF]
[ INFO ] GET /api/chat/unread [request-id: D429C5E5-C324-4045-92C2-B0F71E4C91D8]
[ INFO ] POST /api/admin/klassen/8BAEC93F-5CEE-43FE-990D-B9674FED3FEE/students [request-id: 1B9D82E1-7869-4913-B4A8-63EEC1C06EAF]
[ INFO ] GET /api/admin/klassen/8BAEC93F-5CEE-43FE-990D-B9674FED3FEE/detail [request-id: 7F3302EF-6D94-4AF1-8677-0FC5FF4DB254]
[ INFO ] GET /api/pdf/list [request-id: C429378E-6418-41EA-B0AF-2F76BE5AF082]
[ INFO ] GET /api/chat/unread [request-id: DF5D3B80-B4F0-47A2-8E50-B1AEA4420A2D]
[ INFO ] GET /api/ai/config [request-id: 8EEAD96B-09E2-4F85-99B4-9A2BD53D5F40]
[ INFO ] GET /api/ai/feedback/all [request-id: 18F91BB3-C931-4F54-9414-46C267346125]
[ INFO ] GET /api/chat/unread [request-id: 692D6808-82E5-4660-8F4B-E874726FF3AC]
[ INFO ] GET /api/chat/all [request-id: 64506A3E-8BF9-4963-AE21-19439BEB4D07]
[ INFO ] GET /api/chat/unread [request-id: 7F94A797-62D9-4264-A82C-6C1EA187F2FC]
[ INFO ] GET /api/chat/unread [request-id: 6FE3518E-8BFB-4F3C-BBD3-49DACDEB7705]
[ INFO ] GET /api/chat/unread [request-id: 08FED990-0AA1-474E-A29C-212D6F5433C8]
[ INFO ] GET /api/chat/unread [request-id: 989B3A3B-A837-4DC2-AA07-B5E053E39709]
[ INFO ] GET /api/chat/unread [request-id: 39BB78C2-0C5C-4D0C-8F11-563AEC36C673]
[ INFO ] GET /api/chat/unread [request-id: 07CBB360-261D-4FC8-9956-076D767E8C30]
